# autobouquets.csv master channels x-ref file for C16.0 by LraiZer @ ukcvs.net
# SYNTAX: Sky Ch Slot,EPG_ID,Type,Sid,TSid,Encrypted? (N=FTA Y=NDS),"Channel Name"
101,2002,1,189d,7fd,N,"BBC One London"
102,2006,1,189e,7fd,N,"BBC Two England"
103,6000,1,274c,7fc,N,"ITV London"
104,1621,1,23fb,7f9,N,"Channel 4"
105,1800,1,1e15,809,N,"Channel 5"
106,1402,1,1656,7e5,Y,"Sky1"
107,2201,1,1653,7ea,Y,"Sky Living"
108,1412,1,164f,7e7,Y,"Sky Atlantic"
109,2617,1,1978,7e6,Y,"W"
110,2304,1,1968,7e6,Y,"GOLD"
111,2306,1,196a,7e6,Y,"Dave"
112,2510,1,1798,7e5,Y,"ComedyCentral"
113,1842,1,cc1f,83d,Y,"Universal"
114,2505,1,cc1a,83d,Y,"Syfy"
116,2018,1,18ac,7fd,N,"BBC Four"
117,5090,1,c6cc,82a,Y,"London Live"
118,6240,1,2756,7fc,N,"ITV2"
119,6260,1,2814,806,N,"ITV3"
120,6272,1,2758,7fc,N,"ITV4"
121,1752,1,1657,7e5,Y,"Sky Arts "
122,2205,1,1650,7e7,Y,"Sky Living+1"
123,6507,1,2797,805,Y,"ITV Encore"
124,1305,1,158b,7e5,Y,"FOX"
125,5450,1,1859,7d9,Y,"TLC"
126,2501,1,1b59,7da,Y,"MTV"
127,3802,1,c78b,815,Y,"ComedyCent+1"
128,1813,1,1537,7e7,Y,"ComedyXtra"
129,1833,1,1290,7ea,Y,"Sky2"
130,1403,1,57b,7e5,Y,"Sky1 +1"
131,6155,1,27ab,805,N,"ITV +1 London"
132,2303,1,1979,7e6,Y,"alibi"
133,2308,1,196c,7e6,Y,"Good Food"
134,5701,1,d7ff,840,N,"S4C"
135,1670,1,2077,7fa,N,"Channel 4 +1"
136,1628,1,2071,7fa,N,"E4"
137,3300,1,206c,7fa,N,"E4+1"
138,3340,1,2094,7fa,N,"More4"
139,3310,1,240e,7f9,N,"More4 +1"
140,3150,1,5302,814,N,"4seven"
142,2012,1,1917,7ff,N,"BBC ALBA"
144,6761,1,1843,7d9,Y,"QUEST"
145,2202,1,178f,7d7,N,"Challenge"
146,3352,1,d7ae,840,N,"CBS Reality"
147,3602,1,d7b1,840,N,"CBS Reality+1"
148,4610,1,d7a9,840,N,"CBS Action"
149,3617,1,c6d7,840,N,"CBS Drama"
150,3207,1,cbfc,83d,Y,"Universal+1"
151,1360,1,cc06,83d,Y,"E!"
152,1832,1,128f,7ea,N,"Pick"
153,1827,1,13fb,7d7,Y,"VICELAND"
154,5451,1,ccde,831,Y,"TLC+1"
155,2325,1,197b,7e6,N,"Really"
156,4320,1,1654,7ea,Y,"Lifetime"
157,3358,1,d361,830,Y,"Sony Channel"
158,2612,1,197a,7e6,N,"Drama"
159,3607,1,c78f,815,Y,"ComedyXtra+1"
160,1032,1,1e32,809,N,"Spike"
161,1251,1,af1,7ed,Y,"RTÉ One"
162,1252,1,af2,7ed,Y,"RTÉ2"
163,1836,1,13f3,7ea,N,"Pick+1"
164,4332,1,178a,7d7,N,"Challenge+1"
165,1791,1,151a,7e7,Y,"FOX+"
166,2703,1,1db5,82d,Y,"GOLD +1"
167,3618,1,ccbf,831,Y,"DMAX"
170,1413,1,585,7db,Y,"Sky Atlantic+1"
172,2207,1,178e,7e9,Y,"Real Lives"
173,4330,1,1789,7d7,Y,"Real Lives+1"
174,3022,1,1e1e,809,N,"5 USA"
175,3028,1,1e24,809,N,"My5"
176,3023,1,1e23,809,N,"5STAR"
177,1839,1,1e28,809,N,"Channel 5+1"
179,6508,1,275b,7fc,N,"ITVBe"
180,6241,1,27b5,805,N,"ITV2+1"
181,3216,1,d017,83f,Y,"Sony Chnl +1"
182,3208,1,d3cf,829,N,"BEN"
183,4266,1,d07f,83e,N,"True Ent"
184,5338,1,d084,83e,N,"True Ent +1"
185,1048,1,cd41,844,N,"True Crime"
186,4205,1,d039,83e,N,"True Crime +1"
187,3719,1,c789,815,N,"BET:BlackEntTv"
189,4350,1,cb5c,839,N,"propeller"
190,3024,1,1e25,809,N,"5STAR +1"
191,6758,1,d854,838,N,"Irish TV"
192,5036,1,d7a7,840,N,"AMC from BT"
193,6261,1,2815,806,N,"ITV3+1"
194,2513,1,cc38,83d,Y,"Syfy +1"
195,3621,1,ccce,831,Y,"QUEST+1"
196,2301,1,1965,7e6,Y,"Home"
197,5535,1,177a,7d7,Y,"Lifetime+1"
198,5414,1,d355,830,N,"tru TV"
199,5254,1,cd3c,844,N,"YourTV"
200,5245,1,cce7,831,Y,"TLC+2"
203,3731,1,d74e,82f,N,"My Channel"
206,6274,1,2759,7fc,N,"ITV4+1"
207,1014,1,279b,805,N,"ITVBe+1"
208,1007,1,2819,806,Y,"ITV Encore+1"
212,5358,1,d15e,832,N,"Showcase"
213,2616,1,1dbf,82d,Y,"W +1"
214,2320,1,1dc8,82d,Y,"Dave ja vu"
218,3108,1,c6c8,82a,N,"Vox Africa"
219,3027,1,1e1f,809,N,"5 USA +1"
226,2630,1,1dce,82d,Y,"alibi +1"
